query,category,response
How do I track my shipment?,Order_Tracking,You can track your order from the tracking link sent to your email.
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
Can I change my shipping address?,Address_Change,You can change your address before the order is shipped from your profile.
I want to cancel my order,Order_Cancellation,You can cancel your order from the 'My Orders' section before it is shipped.
How do I return a product?,Return_Process,"To return a product, go to 'My Orders' and click on 'Return'."
I want to cancel my order,Order_Cancellation,You can cancel your order from the 'My Orders' section before it is shipped.
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
I want to cancel my order,Order_Cancellation,You can cancel your order from the 'My Orders' section before it is shipped.
How do I return a product?,Return_Process,"To return a product, go to 'My Orders' and click on 'Return'."
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
What are the delivery charges?,Shipping_Info,"Delivery is free for orders above $50; otherwise, a standard fee applies."
How do I track my shipment?,Order_Tracking,You can track your order from the tracking link sent to your email.
How do I return a product?,Return_Process,"To return a product, go to 'My Orders' and click on 'Return'."
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
Is there a shipping fee?,Shipping_Info,"Delivery is free for orders above $50; otherwise, a standard fee applies."
I want to talk to a human,Human_Agent,Please hold on while I connect you to a customer service representative.
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
I want to talk to a human,Human_Agent,Please hold on while I connect you to a customer service representative.
I want to return what I bought.,Return_Process,"To return a product, go to 'My Orders' and click on 'Return'."
Where is my order?,Order_Status,Your order is on the way and will arrive soon.
How do I apply a discount code?,Discount_Usage,Enter your discount code during checkout in the 'Apply Coupon' section.
Has my order shipped yet?,Order_Status,Your order is on the way and will arrive soon.
Can I change my shipping address?,Address_Change,You can change your address before the order is shipped from your profile.
What are the delivery charges?,Shipping_Info,"Delivery is free for orders above $50; otherwise, a standard fee applies."
Has my order shipped yet?,Order_Status,Your order is on the way and will arrive soon.
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
How do I return a product?,Return_Process,"To return a product, go to 'My Orders' and click on 'Return'."
Where is my order?,Order_Status,Your order is on the way and will arrive soon.
Can I change my shipping address?,Address_Change,You can change your address before the order is shipped from your profile.
Where is my order?,Order_Status,Your order is on the way and will arrive soon.
What payment methods do you accept?,Payment_Info,"We accept credit/debit cards, UPI, net banking, and digital wallets."
Where is my order?,Order_Status,Your order is on the way and will arrive soon.
I want to cancel my order,Order_Cancellation,You can cancel your order from the 'My Orders' section before it is shipped.
I want to cancel my order,Order_Cancellation,You can cancel your order from the 'My Orders' section before it is shipped.
I need to stop my order—what do I do?,Order_Cancellation,You can cancel your order from the 'My Orders' section before it is shipped.
I want to talk to a human,Human_Agent,Please hold on while I connect you to a customer service representative.
How do I return a product?,Return_Process,"To return a product, go to 'My Orders' and click on 'Return'."
How do I apply a discount code?,Discount_Usage,Enter your discount code during checkout in the 'Apply Coupon' section.
What are the delivery charges?,Shipping_Info,"Delivery is free for orders above $50; otherwise, a standard fee applies."
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
How do I apply a discount code?,Discount_Usage,Enter your discount code during checkout in the 'Apply Coupon' section.
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
Can you tell me where my order is?,Order_Status,Your order is on the way and will arrive soon.
I want to return what I bought.,Return_Process,"To return a product, go to 'My Orders' and click on 'Return'."
What payment methods do you accept?,Payment_Info,"We accept credit/debit cards, UPI, net banking, and digital wallets."
How do I apply a discount code?,Discount_Usage,Enter your discount code during checkout in the 'Apply Coupon' section.
How do I track my shipment?,Order_Tracking,You can track your order from the tracking link sent to your email.
What are the delivery charges?,Shipping_Info,"Delivery is free for orders above $50; otherwise, a standard fee applies."
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
Can I change my shipping address?,Address_Change,You can change your address before the order is shipped from your profile.
What's the return policy?,Return_Process,"To return a product, go to 'My Orders' and click on 'Return'."
How do I return a product?,Return_Process,"To return a product, go to 'My Orders' and click on 'Return'."
Can I change my shipping address?,Address_Change,You can change your address before the order is shipped from your profile.
What are the delivery charges?,Shipping_Info,"Delivery is free for orders above $50; otherwise, a standard fee applies."
What payment methods do you accept?,Payment_Info,"We accept credit/debit cards, UPI, net banking, and digital wallets."
I need to stop my order—what do I do?,Order_Cancellation,You can cancel your order from the 'My Orders' section before it is shipped.
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
How do I apply a discount code?,Discount_Usage,Enter your discount code during checkout in the 'Apply Coupon' section.
I want to talk to a human,Human_Agent,Please hold on while I connect you to a customer service representative.
I want to talk to a human,Human_Agent,Please hold on while I connect you to a customer service representative.
How much do I pay for delivery?,Shipping_Info,"Delivery is free for orders above $50; otherwise, a standard fee applies."
Can I change my shipping address?,Address_Change,You can change your address before the order is shipped from your profile.
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
I need to talk to support.,Human_Agent,Please hold on while I connect you to a customer service representative.
Connect me to an agent.,Human_Agent,Please hold on while I connect you to a customer service representative.
How do I track my shipment?,Order_Tracking,You can track your order from the tracking link sent to your email.
How do I apply a discount code?,Discount_Usage,Enter your discount code during checkout in the 'Apply Coupon' section.
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
I want to cancel my order,Order_Cancellation,You can cancel your order from the 'My Orders' section before it is shipped.
What payment methods do you accept?,Payment_Info,"We accept credit/debit cards, UPI, net banking, and digital wallets."
How do I apply a discount code?,Discount_Usage,Enter your discount code during checkout in the 'Apply Coupon' section.
How do I apply a discount code?,Discount_Usage,Enter your discount code during checkout in the 'Apply Coupon' section.
How do I return a product?,Return_Process,"To return a product, go to 'My Orders' and click on 'Return'."
I want to talk to a human,Human_Agent,Please hold on while I connect you to a customer service representative.
What payment methods do you accept?,Payment_Info,"We accept credit/debit cards, UPI, net banking, and digital wallets."
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
What payment methods do you accept?,Payment_Info,"We accept credit/debit cards, UPI, net banking, and digital wallets."
What are the delivery charges?,Shipping_Info,"Delivery is free for orders above $50; otherwise, a standard fee applies."
Can you tell me where my order is?,Order_Status,Your order is on the way and will arrive soon.
I want to cancel my order,Order_Cancellation,You can cancel your order from the 'My Orders' section before it is shipped.
I want to talk to a human,Human_Agent,Please hold on while I connect you to a customer service representative.
Give me a real person please.,Human_Agent,Please hold on while I connect you to a customer service representative.
What payment methods do you accept?,Payment_Info,"We accept credit/debit cards, UPI, net banking, and digital wallets."
How do I apply a discount code?,Discount_Usage,Enter your discount code during checkout in the 'Apply Coupon' section.
How do I track my shipment?,Order_Tracking,You can track your order from the tracking link sent to your email.
What are the delivery charges?,Shipping_Info,"Delivery is free for orders above $50; otherwise, a standard fee applies."
How do I track my shipment?,Order_Tracking,You can track your order from the tracking link sent to your email.
How do I return a product?,Return_Process,"To return a product, go to 'My Orders' and click on 'Return'."
Any charges for shipping?,Shipping_Info,"Delivery is free for orders above $50; otherwise, a standard fee applies."
What are the delivery charges?,Shipping_Info,"Delivery is free for orders above $50; otherwise, a standard fee applies."
I want to cancel my order,Order_Cancellation,You can cancel your order from the 'My Orders' section before it is shipped.
How do I apply a discount code?,Discount_Usage,Enter your discount code during checkout in the 'Apply Coupon' section.
Where is my order?,Order_Status,Your order is on the way and will arrive soon.
How do I apply a discount code?,Discount_Usage,Enter your discount code during checkout in the 'Apply Coupon' section.
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
I want to cancel my order,Order_Cancellation,You can cancel your order from the 'My Orders' section before it is shipped.
Can I change my shipping address?,Address_Change,You can change your address before the order is shipped from your profile.
How do I track my shipment?,Order_Tracking,You can track your order from the tracking link sent to your email.
How do I return a product?,Return_Process,"To return a product, go to 'My Orders' and click on 'Return'."
Can I change my shipping address?,Address_Change,You can change your address before the order is shipped from your profile.
I want to talk to a human,Human_Agent,Please hold on while I connect you to a customer service representative.
Can you tell me where my order is?,Order_Status,Your order is on the way and will arrive soon.
I want to cancel my order,Order_Cancellation,You can cancel your order from the 'My Orders' section before it is shipped.
Can I change my shipping address?,Address_Change,You can change your address before the order is shipped from your profile.
I want to cancel my order,Order_Cancellation,You can cancel your order from the 'My Orders' section before it is shipped.
What payment methods do you accept?,Payment_Info,"We accept credit/debit cards, UPI, net banking, and digital wallets."
How do I track my shipment?,Order_Tracking,You can track your order from the tracking link sent to your email.
What payment methods do you accept?,Payment_Info,"We accept credit/debit cards, UPI, net banking, and digital wallets."
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
What payment methods do you accept?,Payment_Info,"We accept credit/debit cards, UPI, net banking, and digital wallets."
I want to cancel my order,Order_Cancellation,You can cancel your order from the 'My Orders' section before it is shipped.
I want to talk to a human,Human_Agent,Please hold on while I connect you to a customer service representative.
Can I change my shipping address?,Address_Change,You can change your address before the order is shipped from your profile.
Can I change my shipping address?,Address_Change,You can change your address before the order is shipped from your profile.
Can I change my shipping address?,Address_Change,You can change your address before the order is shipped from your profile.
What are the delivery charges?,Shipping_Info,"Delivery is free for orders above $50; otherwise, a standard fee applies."
How do I return a product?,Return_Process,"To return a product, go to 'My Orders' and click on 'Return'."
Where's my package?,Order_Status,Your order is on the way and will arrive soon.
Where is my order?,Order_Status,Your order is on the way and will arrive soon.
How do I apply a discount code?,Discount_Usage,Enter your discount code during checkout in the 'Apply Coupon' section.
Can I change my shipping address?,Address_Change,You can change your address before the order is shipped from your profile.
How do I return a product?,Return_Process,"To return a product, go to 'My Orders' and click on 'Return'."
How do I track my shipment?,Order_Tracking,You can track your order from the tracking link sent to your email.
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
Where is my order?,Order_Status,Your order is on the way and will arrive soon.
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
What payment methods do you accept?,Payment_Info,"We accept credit/debit cards, UPI, net banking, and digital wallets."
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
How do I apply a discount code?,Discount_Usage,Enter your discount code during checkout in the 'Apply Coupon' section.
What payment methods do you accept?,Payment_Info,"We accept credit/debit cards, UPI, net banking, and digital wallets."
How do I apply a discount code?,Discount_Usage,Enter your discount code during checkout in the 'Apply Coupon' section.
How do I return a product?,Return_Process,"To return a product, go to 'My Orders' and click on 'Return'."
How do I apply a discount code?,Discount_Usage,Enter your discount code during checkout in the 'Apply Coupon' section.
What payment methods do you accept?,Payment_Info,"We accept credit/debit cards, UPI, net banking, and digital wallets."
I want to talk to a human,Human_Agent,Please hold on while I connect you to a customer service representative.
What are the delivery charges?,Shipping_Info,"Delivery is free for orders above $50; otherwise, a standard fee applies."
I want to talk to a human,Human_Agent,Please hold on while I connect you to a customer service representative.
How do I track my shipment?,Order_Tracking,You can track your order from the tracking link sent to your email.
I want to talk to a human,Human_Agent,Please hold on while I connect you to a customer service representative.
Where is my order?,Order_Status,Your order is on the way and will arrive soon.
Are deliveries free?,Shipping_Info,"Delivery is free for orders above $50; otherwise, a standard fee applies."
I want to talk to a human,Human_Agent,Please hold on while I connect you to a customer service representative.
Can I speak with someone?,Human_Agent,Please hold on while I connect you to a customer service representative.
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
Where is my order?,Order_Status,Your order is on the way and will arrive soon.
What payment methods do you accept?,Payment_Info,"We accept credit/debit cards, UPI, net banking, and digital wallets."
I want to talk to a human,Human_Agent,Please hold on while I connect you to a customer service representative.
How do I track my shipment?,Order_Tracking,You can track your order from the tracking link sent to your email.
Where is my order?,Order_Status,Your order is on the way and will arrive soon.
What are the delivery charges?,Shipping_Info,"Delivery is free for orders above $50; otherwise, a standard fee applies."
Can I change my shipping address?,Address_Change,You can change your address before the order is shipped from your profile.
What are the delivery charges?,Shipping_Info,"Delivery is free for orders above $50; otherwise, a standard fee applies."
Can I change my shipping address?,Address_Change,You can change your address before the order is shipped from your profile.
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
I want to cancel my order,Order_Cancellation,You can cancel your order from the 'My Orders' section before it is shipped.
How do I apply a discount code?,Discount_Usage,Enter your discount code during checkout in the 'Apply Coupon' section.
What are the delivery charges?,Shipping_Info,"Delivery is free for orders above $50; otherwise, a standard fee applies."
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
How do I track my shipment?,Order_Tracking,You can track your order from the tracking link sent to your email.
How do I return a product?,Return_Process,"To return a product, go to 'My Orders' and click on 'Return'."
How do I apply a discount code?,Discount_Usage,Enter your discount code during checkout in the 'Apply Coupon' section.
Can you tell me where my order is?,Order_Status,Your order is on the way and will arrive soon.
I want to cancel my order,Order_Cancellation,You can cancel your order from the 'My Orders' section before it is shipped.
How do I track my shipment?,Order_Tracking,You can track your order from the tracking link sent to your email.
How do I apply a discount code?,Discount_Usage,Enter your discount code during checkout in the 'Apply Coupon' section.
How do I return a product?,Return_Process,"To return a product, go to 'My Orders' and click on 'Return'."
How do I track my shipment?,Order_Tracking,You can track your order from the tracking link sent to your email.
I need to talk to support.,Human_Agent,Please hold on while I connect you to a customer service representative.
Can I change my shipping address?,Address_Change,You can change your address before the order is shipped from your profile.
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
Can I change my shipping address?,Address_Change,You can change your address before the order is shipped from your profile.
What payment methods do you accept?,Payment_Info,"We accept credit/debit cards, UPI, net banking, and digital wallets."
I want to cancel my order,Order_Cancellation,You can cancel your order from the 'My Orders' section before it is shipped.
What payment methods do you accept?,Payment_Info,"We accept credit/debit cards, UPI, net banking, and digital wallets."
I want to talk to a human,Human_Agent,Please hold on while I connect you to a customer service representative.
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
I want to talk to a human,Human_Agent,Please hold on while I connect you to a customer service representative.
What payment methods do you accept?,Payment_Info,"We accept credit/debit cards, UPI, net banking, and digital wallets."
How can I do a return?,Return_Process,"To return a product, go to 'My Orders' and click on 'Return'."
I want to talk to a human,Human_Agent,Please hold on while I connect you to a customer service representative.
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
How do I track my shipment?,Order_Tracking,You can track your order from the tracking link sent to your email.
What are the delivery charges?,Shipping_Info,"Delivery is free for orders above $50; otherwise, a standard fee applies."
Can I change my shipping address?,Address_Change,You can change your address before the order is shipped from your profile.
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
What are the delivery charges?,Shipping_Info,"Delivery is free for orders above $50; otherwise, a standard fee applies."
I want to talk to a human,Human_Agent,Please hold on while I connect you to a customer service representative.
I want to cancel my order,Order_Cancellation,You can cancel your order from the 'My Orders' section before it is shipped.
I want to cancel my order,Order_Cancellation,You can cancel your order from the 'My Orders' section before it is shipped.
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
What payment methods do you accept?,Payment_Info,"We accept credit/debit cards, UPI, net banking, and digital wallets."
I changed my mind. Can I cancel?,Order_Cancellation,You can cancel your order from the 'My Orders' section before it is shipped.
Where is my order?,Order_Status,Your order is on the way and will arrive soon.
I want to cancel my order,Order_Cancellation,You can cancel your order from the 'My Orders' section before it is shipped.
How do I apply a discount code?,Discount_Usage,Enter your discount code during checkout in the 'Apply Coupon' section.
I want to talk to a human,Human_Agent,Please hold on while I connect you to a customer service representative.
I want to cancel my order,Order_Cancellation,You can cancel your order from the 'My Orders' section before it is shipped.
I want to return what I bought.,Return_Process,"To return a product, go to 'My Orders' and click on 'Return'."
How do I return a product?,Return_Process,"To return a product, go to 'My Orders' and click on 'Return'."
How do I apply a discount code?,Discount_Usage,Enter your discount code during checkout in the 'Apply Coupon' section.
I want to return what I bought.,Return_Process,"To return a product, go to 'My Orders' and click on 'Return'."
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
Can I change my shipping address?,Address_Change,You can change your address before the order is shipped from your profile.
How do I apply a discount code?,Discount_Usage,Enter your discount code during checkout in the 'Apply Coupon' section.
Where is my order?,Order_Status,Your order is on the way and will arrive soon.
How do I apply a discount code?,Discount_Usage,Enter your discount code during checkout in the 'Apply Coupon' section.
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
How do I return a product?,Return_Process,"To return a product, go to 'My Orders' and click on 'Return'."
How do I return a product?,Return_Process,"To return a product, go to 'My Orders' and click on 'Return'."
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
What are the delivery charges?,Shipping_Info,"Delivery is free for orders above $50; otherwise, a standard fee applies."
Can I change my shipping address?,Address_Change,You can change your address before the order is shipped from your profile.
Give me a real person please.,Human_Agent,Please hold on while I connect you to a customer service representative.
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
How do I track my shipment?,Order_Tracking,You can track your order from the tracking link sent to your email.
How do I track my shipment?,Order_Tracking,You can track your order from the tracking link sent to your email.
How do I track my shipment?,Order_Tracking,You can track your order from the tracking link sent to your email.
Can I change my shipping address?,Address_Change,You can change your address before the order is shipped from your profile.
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
What are the delivery charges?,Shipping_Info,"Delivery is free for orders above $50; otherwise, a standard fee applies."
How do I apply a discount code?,Discount_Usage,Enter your discount code during checkout in the 'Apply Coupon' section.
How do I apply a discount code?,Discount_Usage,Enter your discount code during checkout in the 'Apply Coupon' section.
How do I return a product?,Return_Process,"To return a product, go to 'My Orders' and click on 'Return'."
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
I want to talk to a human,Human_Agent,Please hold on while I connect you to a customer service representative.
How do I track my shipment?,Order_Tracking,You can track your order from the tracking link sent to your email.
I want to talk to a human,Human_Agent,Please hold on while I connect you to a customer service representative.
I want to talk to a human,Human_Agent,Please hold on while I connect you to a customer service representative.
I want to talk to a human,Human_Agent,Please hold on while I connect you to a customer service representative.
How do I track my shipment?,Order_Tracking,You can track your order from the tracking link sent to your email.
How do I track my shipment?,Order_Tracking,You can track your order from the tracking link sent to your email.
Where is my order?,Order_Status,Your order is on the way and will arrive soon.
Are deliveries free?,Shipping_Info,"Delivery is free for orders above $50; otherwise, a standard fee applies."
Can I change my shipping address?,Address_Change,You can change your address before the order is shipped from your profile.
I want to talk to a human,Human_Agent,Please hold on while I connect you to a customer service representative.
How do I track my shipment?,Order_Tracking,You can track your order from the tracking link sent to your email.
Can I change my shipping address?,Address_Change,You can change your address before the order is shipped from your profile.
I want to cancel my order,Order_Cancellation,You can cancel your order from the 'My Orders' section before it is shipped.
Are deliveries free?,Shipping_Info,"Delivery is free for orders above $50; otherwise, a standard fee applies."
Can I change my shipping address?,Address_Change,You can change your address before the order is shipped from your profile.
How can I do a return?,Return_Process,"To return a product, go to 'My Orders' and click on 'Return'."
What payment methods do you accept?,Payment_Info,"We accept credit/debit cards, UPI, net banking, and digital wallets."
How do I track my shipment?,Order_Tracking,You can track your order from the tracking link sent to your email.
What payment methods do you accept?,Payment_Info,"We accept credit/debit cards, UPI, net banking, and digital wallets."
Has my order shipped yet?,Order_Status,Your order is on the way and will arrive soon.
What payment methods do you accept?,Payment_Info,"We accept credit/debit cards, UPI, net banking, and digital wallets."
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
How do I return a product?,Return_Process,"To return a product, go to 'My Orders' and click on 'Return'."
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
How do I track my shipment?,Order_Tracking,You can track your order from the tracking link sent to your email.
I need to stop my order—what do I do?,Order_Cancellation,You can cancel your order from the 'My Orders' section before it is shipped.
How do I apply a discount code?,Discount_Usage,Enter your discount code during checkout in the 'Apply Coupon' section.
I want to talk to a human,Human_Agent,Please hold on while I connect you to a customer service representative.
What payment methods do you accept?,Payment_Info,"We accept credit/debit cards, UPI, net banking, and digital wallets."
What payment methods do you accept?,Payment_Info,"We accept credit/debit cards, UPI, net banking, and digital wallets."
What payment methods do you accept?,Payment_Info,"We accept credit/debit cards, UPI, net banking, and digital wallets."
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
How do I apply a discount code?,Discount_Usage,Enter your discount code during checkout in the 'Apply Coupon' section.
I want to talk to a human,Human_Agent,Please hold on while I connect you to a customer service representative.
What payment methods do you accept?,Payment_Info,"We accept credit/debit cards, UPI, net banking, and digital wallets."
What are the delivery charges?,Shipping_Info,"Delivery is free for orders above $50; otherwise, a standard fee applies."
Where is my order?,Order_Status,Your order is on the way and will arrive soon.
I want to talk to a human,Human_Agent,Please hold on while I connect you to a customer service representative.
What are the delivery charges?,Shipping_Info,"Delivery is free for orders above $50; otherwise, a standard fee applies."
I want to talk to a human,Human_Agent,Please hold on while I connect you to a customer service representative.
Has my order shipped yet?,Order_Status,Your order is on the way and will arrive soon.
I want to cancel my order,Order_Cancellation,You can cancel your order from the 'My Orders' section before it is shipped.
How do I return a product?,Return_Process,"To return a product, go to 'My Orders' and click on 'Return'."
Where is my order?,Order_Status,Your order is on the way and will arrive soon.
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
Can I send something back?,Return_Process,"To return a product, go to 'My Orders' and click on 'Return'."
I want to cancel my order,Order_Cancellation,You can cancel your order from the 'My Orders' section before it is shipped.
What payment methods do you accept?,Payment_Info,"We accept credit/debit cards, UPI, net banking, and digital wallets."
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
What payment methods do you accept?,Payment_Info,"We accept credit/debit cards, UPI, net banking, and digital wallets."
What payment methods do you accept?,Payment_Info,"We accept credit/debit cards, UPI, net banking, and digital wallets."
Any charges for shipping?,Shipping_Info,"Delivery is free for orders above $50; otherwise, a standard fee applies."
I want to talk to a human,Human_Agent,Please hold on while I connect you to a customer service representative.
What's the return policy?,Return_Process,"To return a product, go to 'My Orders' and click on 'Return'."
How do I track my shipment?,Order_Tracking,You can track your order from the tracking link sent to your email.
How do I track my shipment?,Order_Tracking,You can track your order from the tracking link sent to your email.
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
I want to cancel my order,Order_Cancellation,You can cancel your order from the 'My Orders' section before it is shipped.
What are the delivery charges?,Shipping_Info,"Delivery is free for orders above $50; otherwise, a standard fee applies."
I want to talk to a human,Human_Agent,Please hold on while I connect you to a customer service representative.
Can I change my shipping address?,Address_Change,You can change your address before the order is shipped from your profile.
Can I change my shipping address?,Address_Change,You can change your address before the order is shipped from your profile.
How do I apply a discount code?,Discount_Usage,Enter your discount code during checkout in the 'Apply Coupon' section.
I need to talk to support.,Human_Agent,Please hold on while I connect you to a customer service representative.
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
How do I track my shipment?,Order_Tracking,You can track your order from the tracking link sent to your email.
I want to talk to a human,Human_Agent,Please hold on while I connect you to a customer service representative.
How do I track my shipment?,Order_Tracking,You can track your order from the tracking link sent to your email.
How do I return a product?,Return_Process,"To return a product, go to 'My Orders' and click on 'Return'."
I need to stop my order—what do I do?,Order_Cancellation,You can cancel your order from the 'My Orders' section before it is shipped.
How do I track my shipment?,Order_Tracking,You can track your order from the tracking link sent to your email.
I want to cancel my order,Order_Cancellation,You can cancel your order from the 'My Orders' section before it is shipped.
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
Can I change my shipping address?,Address_Change,You can change your address before the order is shipped from your profile.
How much do I pay for delivery?,Shipping_Info,"Delivery is free for orders above $50; otherwise, a standard fee applies."
How do I apply a discount code?,Discount_Usage,Enter your discount code during checkout in the 'Apply Coupon' section.
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
How do I track my shipment?,Order_Tracking,You can track your order from the tracking link sent to your email.
I want to talk to a human,Human_Agent,Please hold on while I connect you to a customer service representative.
How do I track my shipment?,Order_Tracking,You can track your order from the tracking link sent to your email.
How do I apply a discount code?,Discount_Usage,Enter your discount code during checkout in the 'Apply Coupon' section.
I want to talk to a human,Human_Agent,Please hold on while I connect you to a customer service representative.
Can I change my shipping address?,Address_Change,You can change your address before the order is shipped from your profile.
Where is my order?,Order_Status,Your order is on the way and will arrive soon.
Where is my order?,Order_Status,Your order is on the way and will arrive soon.
Any charges for shipping?,Shipping_Info,"Delivery is free for orders above $50; otherwise, a standard fee applies."
What payment methods do you accept?,Payment_Info,"We accept credit/debit cards, UPI, net banking, and digital wallets."
What are the delivery charges?,Shipping_Info,"Delivery is free for orders above $50; otherwise, a standard fee applies."
How do I return a product?,Return_Process,"To return a product, go to 'My Orders' and click on 'Return'."
How do I return a product?,Return_Process,"To return a product, go to 'My Orders' and click on 'Return'."
Can I change my shipping address?,Address_Change,You can change your address before the order is shipped from your profile.
I want to talk to a human,Human_Agent,Please hold on while I connect you to a customer service representative.
How do I track my shipment?,Order_Tracking,You can track your order from the tracking link sent to your email.
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
What are the delivery charges?,Shipping_Info,"Delivery is free for orders above $50; otherwise, a standard fee applies."
How do I track my shipment?,Order_Tracking,You can track your order from the tracking link sent to your email.
How do I track my shipment?,Order_Tracking,You can track your order from the tracking link sent to your email.
When will I get my refund?,Refund,Refunds are processed within 5-7 business days after product pickup.
How do I return a product?,Return_Process,"To return a product, go to 'My Orders' and click on 'Return'."
How do I apply a discount code?,Discount_Usage,Enter your discount code during checkout in the 'Apply Coupon' section.
Where is my order?,Order_Status,Your order is on the way and will arrive soon.
What payment methods do you accept?,Payment_Info,"We accept credit/debit cards, UPI, net banking, and digital wallets."
I need to stop my order—what do I do?,Order_Cancellation,You can cancel your order from the 'My Orders' section before it is shipped.
How do I return a product?,Return_Process,"To return a product, go to 'My Orders' and click on 'Return'."
How do I apply a discount code?,Discount_Usage,Enter your discount code during checkout in the 'Apply Coupon' section.
How do I track my shipment?,Order_Tracking,You can track your order from the tracking link sent to your email.
How do I return a product?,Return_Process,"To return a product, go to 'My Orders' and click on 'Return'."
What are the delivery charges?,Shipping_Info,"Delivery is free for orders above $50; otherwise, a standard fee applies."
Where is my order?,Order_Status,Your order is on the way and will arrive soon.
I want to cancel my order,Order_Cancellation,You can cancel your order from the 'My Orders' section before it is shipped.
I want to talk to a human,Human_Agent,Please hold on while I connect you to a customer service representative.
Can I change my shipping address?,Address_Change,You can change your address before the order is shipped from your profile.
How do I track my shipment?,Order_Tracking,You can track your order from the tracking link sent to your email.
How do I return a product?,Return_Process,"To return a product, go to 'My Orders' and click on 'Return'."
How do I apply a discount code?,Discount_Usage,Enter your discount code during checkout in the 'Apply Coupon' section.
How do I track my shipment?,Order_Tracking,You can track your order from the tracking link sent to your email.
How do I track my shipment?,Order_Tracking,You can track your order from the tracking link sent to your email.
Are deliveries free?,Shipping_Info,"Delivery is free for orders above $50; otherwise, a standard fee applies."
What payment methods do you accept?,Payment_Info,"We accept credit/debit cards, UPI, net banking, and digital wallets."
Is there a shipping fee?,Shipping_Info,"Delivery is free for orders above $50; otherwise, a standard fee applies."
Give me a real person please.,Human_Agent,Please hold on while I connect you to a customer service representative.
What payment methods do you accept?,Payment_Info,"We accept credit/debit cards, UPI, net banking, and digital wallets."
What payment methods do you accept?,Payment_Info,"We accept credit/debit cards, UPI, net banking, and digital wallets."
I want to cancel my order,Order_Cancellation,You can cancel your order from the 'My Orders' section before it is shipped.
Where is my order?,Order_Status,Your order is on the way and will arrive soon.
What payment methods do you accept?,Payment_Info,"We accept credit/debit cards, UPI, net banking, and digital wallets."
What payment methods do you accept?,Payment_Info,"We accept credit/debit cards, UPI, net banking, and digital wallets."
Where's my package?,Order_Status,Your order is on the way and will arrive soon.
How do I apply a discount code?,Discount_Usage,Enter your discount code during checkout in the 'Apply Coupon' section.
